SN2005M 0.022000 144.384833 23.200750
filter H
53398.73 16.784 0.053
53398.75 16.789 0.053
53404.76 16.725 0.052
53404.76 16.793 0.052
53418.68 17.157 0.059
53418.68 17.233 0.059
53422.69 17.039 0.059
53426.72 16.997 0.057
53426.72 16.984 0.056
53427.70 16.983 0.053
53427.70 16.946 0.053
53433.64 16.922 0.056
53433.65 16.916 0.056
53454.64 17.574 0.056
53454.66 17.608 0.058
53455.59 17.594 0.066
53455.59 17.686 0.064
53456.62 17.630 0.060
53462.56 18.024 0.074
53462.57 17.919 0.068
