SN2008hv 0.012600 136.891917 3.392250
filter H
54811.81 15.502 0.021
54811.83 15.561 0.033
54812.78 15.502 0.017
54812.79 15.463 0.017
54822.82 15.988 0.021
54822.83 15.993 0.019
54828.80 16.187 0.025
54828.81 16.165 0.025
54829.75 16.065 0.100
54829.76 16.155 0.029
54833.78 16.010 0.022
54833.79 16.003 0.017
54849.78 16.332 0.036
54849.79 16.336 0.033
54854.78 16.634 0.044
54854.79 16.700 0.046
54868.66 17.252 0.047
54868.67 17.283 0.048
54875.65 17.549 0.065
54875.66 17.584 0.074
54804.80 17.145 0.023
54839.69 15.761 0.019
54839.70 15.764 0.021
54804.35  17.375  0.093
54805.38  16.500  0.095
54806.39  16.371  0.061
54807.33  16.024  0.086
54810.32  15.501  0.250
54811.45  15.508  0.175
54813.38  15.446  0.042
54819.37  15.916  0.055
54820.36  16.016  0.023
54821.34  16.067  0.250
54830.32  16.253  0.087
54831.29  16.239  0.054
54834.31  15.925  0.055
54838.28  15.877  0.175
54839.28  15.777  0.056
54842.22  15.790  0.070
54844.26  15.800  0.051
54846.24  15.993  0.045
54848.27  16.209  0.250
54860.24  16.823  0.250
54861.21  16.851  0.175
54862.23  16.880  0.175
54873.22  17.368  0.039
54875.20  17.489  0.175
54876.20  17.571  0.080
54880.28  18.098  0.300
54881.21  18.151  0.292
54885.29  18.200  0.310
54889.25  18.745  0.223
