SN2005kc 0.015100 338.530583 5.568417
filter H
53688.52 16.038 0.034
53688.53 16.082 0.041
53691.53 15.747 0.032
53691.53 15.695 0.035
53693.53 15.636 0.045
53693.54 15.624 0.042
53696.48 15.725 0.024
53696.49 15.730 0.025
53701.53 15.979 0.040
53701.54 15.965 0.046
53705.49 16.141 0.034
53705.49 16.135 0.040
53710.52 16.169 0.045
53710.52 16.108 0.046
53714.54 15.979 0.047
53714.55 15.970 0.047
