SN2007S 0.013900 150.130250 4.407278
filter J
54132.77 16.261 0.030
54132.78 16.207 0.025
54138.79 15.349 0.020
54138.79 15.327 0.015
54140.75 15.366 0.016
54140.76 15.326 0.013
54146.84 15.619 0.020
54146.85 15.566 0.021
54150.71 15.895 0.024
54150.71 15.932 0.023
54156.67 16.711 0.033
54156.68 16.706 0.034
54164.69 16.819 0.036
54164.70 16.916 0.038
54167.66 16.725 0.037
54167.67 16.721 0.028
54175.66 16.445 0.031
54175.67 16.551 0.034
54184.62 16.529 0.028
54184.63 16.547 0.035
54191.68 17.027 0.052
54137.79 15.457 0.015
54137.79 15.420 0.015
54158.76 16.935 0.018
54158.77 16.926 0.018
54160.70 16.912 0.018
54160.71 16.907 0.017
54169.68 16.775 0.017
54169.69 16.749 0.017
54171.73 16.732 0.018
54171.74 16.709 0.016
54223.55 19.086 0.075
54139.24  15.388  0.057
54140.25  15.353  0.018
54147.33  15.840  0.065
54148.26  15.840  0.097
54152.20  16.154  0.046
54153.24  16.261  0.055
54156.22  16.680  0.068
54157.22  16.885  0.175
54158.22  16.811  0.078
54160.26  17.033  0.112
54165.20  16.907  0.056
54169.17  16.656  0.063
54172.19  16.607  0.059
54173.24  16.654  0.059
54174.21  16.547  0.061
54175.18  16.463  0.063
54176.17  16.487  0.075
54177.18  16.458  0.045
54179.17  16.372  0.033
54180.17  16.390  0.027
54190.18  16.839  0.059
54191.18  16.916  0.060
54192.18  17.047  0.250
54194.17  17.282  0.108
54197.18  17.395  0.250
54198.18  17.394  0.045
54201.16  17.698  0.175
54216.14  19.685  0.334
54244.15  18.493  0.105
