SN2006ax 0.016700 171.014417 -12.291444
filter H
53817.78 16.396 0.032
53817.79 16.326 0.031
53822.75 15.899 0.039
53822.79 15.950 0.047
53826.64 15.998 0.025
53826.65 16.049 0.025
53829.67 16.162 0.034
53829.68 16.246 0.038
53830.64 16.213 0.033
53830.64 16.234 0.031
53837.73 16.583 0.045
53837.74 16.463 0.062
53839.63 16.565 0.035
53839.64 16.528 0.034
53848.65 16.282 0.047
53848.66 16.323 0.065
53851.61 16.169 0.039
53851.62 16.088 0.040
53860.68 16.194 0.113
53864.59 16.425 0.045
53864.60 16.356 0.039
53869.59 16.645 0.032
53869.60 16.758 0.046
53833.64 16.409 0.026
53833.65 16.425 0.026
53835.58 16.504 0.026
53835.58 16.482 0.026
53843.66 16.502 0.026
53843.67 16.509 0.026
53845.60 16.418 0.026
53845.62 16.436 0.028
53817.21  16.461  0.068
53820.25  15.927  0.175
53827.24  16.090  0.048
53831.24  16.208  0.071
53832.26  16.271  0.067
53834.27  16.407  0.062
53838.20  16.639  0.059
53839.20  16.586  0.058
53850.21  16.170  0.250
53852.18  16.223  0.048
53859.15  16.267  0.050
53860.15  16.257  0.062
53862.16  16.355  0.039
53863.15  16.417  0.074
53864.17  16.349  0.086
