SN2009ad 0.028400 75.889083 6.659917
filter H
54882.54 17.030 0.071
54882.55 17.172 0.077
54887.57 17.324 0.066
54887.58 17.150 0.063
54889.57 17.551 0.131
54889.58 17.436 0.113
54890.57 17.407 0.097
54892.53 17.465 0.124
54892.54 17.541 0.116
54894.53 17.483 0.112
54894.54 17.611 0.127
54899.53 17.893 0.153
54899.53 17.644 0.119
54912.54 17.338 0.127
54912.55 17.281 0.110
54919.54 16.972 0.071
54919.56 17.131 0.107
54879.12  17.499  0.250
54881.15  17.265  0.183
54882.09  17.095  0.182
54884.12  16.950  0.140
54887.10  17.133  0.037
54888.14  17.166  0.114
54891.12  17.262  0.250
54892.13  17.318  0.250
54893.13  17.330  0.175
54898.12  17.733  0.283
54902.11  17.598  0.047
54906.11  17.511  0.090
54908.12  17.284  0.100
54910.12  17.048  0.104
54916.15  17.147  0.054
54917.12  17.232  0.175
54920.14  17.287  0.175
54921.13  17.351  0.250
54926.13  17.945  0.104
54927.13  17.977  0.266
