SN2004eo 0.015700 308.225792 9.928528
filter H
53269.60 16.157 0.027
53269.60 16.081 0.027
53270.57 16.036 0.014
53270.57 16.003 0.015
53271.52 15.885 0.017
53271.54 15.895 0.016
53272.51 15.761 0.016
53272.52 15.797 0.015
53277.53 15.792 0.018
53277.54 15.849 0.018
53281.52 16.019 0.018
53281.53 16.055 0.016
53301.52 15.887 0.021
53301.53 15.887 0.020
53306.55 15.922 0.019
53306.56 15.954 0.018
53338.52 17.727 0.079
