SN2006et 0.022600 10.690917 -23.558444
filter H
53982.63 17.203 0.086
53982.63 17.205 0.076
53987.87 16.351 0.033
53987.88 16.321 0.043
53993.66 16.505 0.042
53993.67 16.453 0.038
53995.69 16.581 0.033
53995.70 16.563 0.035
53999.81 16.701 0.044
53999.82 16.720 0.037
54002.62 16.781 0.044
54002.63 16.883 0.052
54006.62 17.030 0.054
54006.63 16.979 0.057
54009.62 17.023 0.060
54009.64 16.986 0.060
54015.62 16.740 0.067
54015.63 16.705 0.076
54021.68 16.529 0.042
54021.69 16.565 0.058
54024.57 16.585 0.048
54024.58 16.553 0.038
54030.65 16.664 0.043
54030.66 16.673 0.051
54041.56 17.207 0.117
54045.60 17.412 0.085
54045.61 17.406 0.107
54057.58 17.728 0.186
54013.65 16.733 0.067
54013.66 16.846 0.126
54039.69 17.122 0.068
54039.71 17.228 0.127
