SN2005el 0.014900 77.953000 5.194278
filter J
53640.80 15.650 0.014
53640.81 15.617 0.013
53643.79 15.513 0.013
53643.80 15.521 0.015
53648.79 15.858 0.021
53648.80 15.905 0.029
53656.83 17.426 0.065
53657.76 17.364 0.040
53657.77 17.266 0.038
53660.83 17.409 0.058
53660.84 17.321 0.044
53664.82 17.151 0.041
53664.84 17.304 0.058
53668.80 16.798 0.040
53668.81 16.873 0.034
53670.81 16.694 0.029
53672.82 16.679 0.036
53676.83 17.046 0.054
53677.83 17.200 0.042
53677.84 17.196 0.044
53679.76 17.456 0.092
53680.78 17.401 0.070
53680.79 17.462 0.078
53688.80 18.252 0.130
53688.81 18.223 0.122
53697.77 18.719 0.152
53701.73 18.855 0.189
53653.81 16.738 0.013
53653.82 16.721 0.018
53681.83 17.533 0.021
53681.84 17.552 0.022
53640.38  15.575  0.038
53641.36  15.524  0.024
53642.37  15.484  0.018
53643.36  15.449  0.034
53648.39  15.856  0.031
53651.43  16.234  0.046
53652.37  16.442  0.030
53653.39  16.675  0.035
53654.34  16.870  0.059
53656.33  17.208  0.158
53663.40  17.146  0.087
53665.36  16.992  0.082
53670.35  16.649  0.053
53672.30  16.605  0.041
53673.29  16.649  0.037
53674.39  16.744  0.063
53675.36  16.753  0.056
53676.36  16.938  0.055
53677.35  17.056  0.081
53678.38  17.080  0.077
53686.35  17.701  0.114
53687.32  17.844  0.105
53688.33  17.952  0.100
53689.32  17.969  0.165
53690.32  18.143  0.162
53691.30  18.161  0.141
53693.33  18.378  0.200
53695.31  18.392  0.114
53696.30  18.586  0.271
53700.26  18.784  0.247
53701.26  18.878  0.268
53703.28  18.789  0.251
53704.30  18.865  0.330
53706.30  19.002  0.355
53708.30  19.039  0.175
