SN2004ey 0.015800 327.282542 0.444222
filter H
53301.62 15.844 0.058
53301.63 15.788 0.054
53306.61 16.051 0.054
53306.61 16.128 0.059
53311.53 16.296 0.058
53311.53 16.274 0.058
53327.57 16.007 0.054
53327.58 15.989 0.054
53338.56 16.111 0.063
53338.56 16.086 0.058
53342.53 16.334 0.066
53342.54 16.298 0.067
53358.55 17.146 0.079
53358.55 17.124 0.075
