SN2007ca 0.014100 202.774208 -15.101833
filter J
54217.65 16.157 0.025
54217.66 16.125 0.020
54228.61 15.756 0.016
54228.62 15.810 0.018
54233.64 16.226 0.030
54233.65 16.218 0.026
54237.72 16.732 0.161
54238.63 16.924 0.048
54238.64 16.993 0.046
54258.67 16.882 0.032
54258.68 16.869 0.041
54224.72 15.717 0.019
54224.73 15.730 0.018
54254.72 17.140 0.022
54254.72 17.144 0.022
54229.22  15.905  0.250
54231.21  15.998  0.027
54232.30  16.122  0.050
54233.29  16.136  0.003
54234.16  16.327  0.039
54235.28  16.468  0.012
54238.28  16.948  0.068
54239.27  17.191  0.083
54240.27  17.319  0.002
54241.26  17.325  0.057
54243.21  17.306  0.060
54256.17  16.813  0.028
54258.16  16.707  0.045
54259.17  16.699  0.055
54260.17  16.711  0.008
54261.16  16.649  0.013
54262.14  16.770  0.064
54275.15  17.401  0.069
