SN1999ek 0.017522000 84.131667 16.638278
filter H
51473.49 16.414 0.115
51477.17 16.079 0.040
51477.30 16.281 0.018
51478.19 16.136 0.050
51481.32 16.331 0.020
51483.28 16.464 0.038
51484.31 16.485 0.024
51485.28 16.405 0.163
51486.32 16.676 0.135
51487.29 16.648 0.025
51488.30 16.645 0.029
51489.34 16.525 0.031
51497.16 16.455 0.070
51503.14 16.296 0.059
51504.17 16.253 0.073
