SN2005iq 0.034000 359.635417 -18.709167
filter J
53685.55 17.298 0.046
53685.56 17.099 0.044
53686.59 17.288 0.052
53686.60 17.294 0.055
53688.58 17.398 0.052
53688.58 17.386 0.047
53692.53 17.977 0.096
53692.52 17.945 0.111
53696.57 18.512 0.145
53715.61 18.693 0.167
53721.58 18.822 0.047
53721.59 18.700 0.056
53684.19  17.246  0.078
53688.19  17.459  0.099
53689.16  17.664  0.108
53690.19  17.749  0.125
53691.14  18.034  0.149
53693.14  18.291  0.175
53694.13  18.472  0.215
53695.14  18.610  0.258
53696.12  18.708  0.175
53699.12  18.717  0.175
53700.10  18.929  0.310
53703.09  18.755  0.236
