SN2006ax 0.016700 171.014417 -12.291444
filter J
53817.78 16.267 0.021
53817.79 16.189 0.020
53820.82 15.846 0.020
53820.83 15.802 0.016
53822.75 15.695 0.013
53822.79 15.672 0.014
53826.64 15.749 0.014
53826.65 15.754 0.016
53829.67 15.967 0.023
53829.68 15.935 0.017
53830.64 16.015 0.018
53830.64 16.038 0.019
53837.73 16.947 0.041
53837.74 17.030 0.038
53839.63 17.319 0.045
53839.64 17.332 0.045
53848.65 17.324 0.063
53848.66 17.279 0.054
53851.61 17.212 0.040
53855.59 17.009 0.027
53855.60 16.973 0.044
53860.68 16.831 0.037
53860.68 16.851 0.048
53864.59 17.054 0.029
53864.60 17.062 0.026
53869.59 17.493 0.037
53869.60 17.515 0.037
53833.64 16.379 0.014
53833.65 16.386 0.014
53835.58 16.642 0.014
53835.58 16.651 0.014
53843.66 17.482 0.016
53843.67 17.503 0.017
53845.60 17.476 0.019
53845.62 17.464 0.018
53817.21  16.287  0.013
53818.22  16.148  0.034
53820.25  15.881  0.024
53825.28  15.809  0.008
53827.24  15.877  0.018
53831.24  16.227  0.015
53832.26  16.368  0.016
53833.23  16.464  0.037
53834.27  16.591  0.020
53837.19  17.157  0.250
53838.20  17.323  0.250
53839.20  17.492  0.250
53850.21  17.429  0.050
53852.18  17.357  0.175
53859.15  17.047  0.033
53860.15  16.928  0.012
53862.16  17.032  0.027
53863.15  17.009  0.024
53864.17  16.983  0.039
