SN2007as 0.017600 141.900042 -80.177556
filter H
54175.59 16.175 0.066
54175.60 16.206 0.066
54180.60 16.165 0.050
54183.61 16.420 0.059
54183.62 16.329 0.052
54193.57 16.923 0.081
54193.58 16.760 0.073
54208.53 16.324 0.058
54208.54 16.310 0.064
54219.55 16.931 0.104
54219.56 17.063 0.089
54224.48 17.318 0.036
54224.49 17.335 0.031
