SN2004ey 0.015800 327.282542 0.444222
filter J
53300.57 15.512 0.006
53300.58 15.582 0.009
53301.62 15.505 0.006
53301.63 15.518 0.006
53306.61 15.820 0.013
53306.61 15.826 0.013
53311.53 16.310 0.011
53311.53 16.279 0.010
53327.57 17.134 0.014
53327.58 17.076 0.013
53338.56 16.653 0.012
53338.56 16.649 0.013
53342.53 17.046 0.019
53342.54 16.938 0.018
