SN2005eq 0.029000 47.205458 -7.033250
filter J
53647.80 16.829 0.036
53656.71 17.103 0.035
53656.72 17.022 0.032
53660.70 17.294 0.044
53660.71 17.279 0.042
53664.71 17.841 0.057
53668.74 18.293 0.105
53668.74 18.311 0.123
53672.76 18.293 0.121
53677.77 18.305 0.155
53677.77 18.256 0.113
53686.76 17.826 0.069
53686.77 17.973 0.064
53692.69 17.839 0.089
53692.70 17.681 0.072
53701.66 18.553 0.117
53701.67 18.637 0.132
53710.70 18.754 0.136
53653.87 16.881 0.029
53648.33  16.813  0.034
53651.40  16.811  0.035
53652.33  16.809  0.017
53653.37  16.893  0.030
53654.32  16.976  0.036
53656.29  17.243  0.033
53663.36  17.713  0.040
53665.32  17.982  0.061
53670.31  18.447  0.062
53674.37  18.530  0.106
53675.34  18.387  0.146
53676.34  18.322  0.250
53677.31  18.213  0.250
53678.35  18.137  0.250
53681.31  18.129  0.250
53682.30  18.029  0.061
53683.32  18.018  0.044
53684.35  18.004  0.039
53686.37  17.972  0.050
53687.27  17.887  0.084
53688.31  17.798  0.040
53690.26  17.774  0.067
53691.29  17.836  0.056
53695.29  17.979  0.052
53699.23  18.153  0.077
53701.22  18.462  0.175
53703.24  18.628  0.175
53706.26  18.774  0.087
53707.24  18.803  0.124
53708.26  18.897  0.141
53712.22  19.046  0.150
