SN2005iq 0.034000 359.635417 -18.709167
filter H
53685.55 17.370 0.108
53685.56 17.463 0.095
53686.59 17.487 0.113
53686.60 17.562 0.112
53688.58 17.796 0.116
53692.53 17.846 0.148
53696.57 17.977 0.158
53710.57 17.931 0.142
53710.58 17.900 0.133
53715.61 17.864 0.189
53721.58 18.177 0.086
53721.59 18.308 0.088
53684.19  17.149  0.092
53688.19  17.468  0.179
53689.16  17.632  0.201
53690.19  17.689  0.251
53691.14  17.748  0.122
53693.14  17.821  0.175
53694.13  17.928  0.275
53695.14  17.822  0.175
53696.12  17.959  0.238
