SN2009al 0.022100 162.841958 8.578528
filter H
54891.71 16.683 0.030
54891.72 16.646 0.032
54892.69 16.646 0.030
54892.70 16.595 0.036
54894.72 16.783 0.063
54894.73 16.657 0.063
54899.69 16.718 0.038
54899.69 16.835 0.043
54907.71 17.032 0.048
54907.72 17.015 0.042
54913.67 16.773 0.048
54913.68 16.831 0.043
54891.20  16.802  0.175
54892.20  16.769  0.250
54893.20  16.557  0.035
54895.25  16.731  0.048
54898.19  16.688  0.069
54902.17  16.854  0.072
54905.17  16.912  0.250
54906.15  16.888  0.175
54907.15  16.869  0.175
54908.16  16.979  0.070
54909.15  17.000  0.175
54910.15  17.003  0.055
54911.13  17.075  0.175
54912.11  17.013  0.100
54913.10  16.983  0.082
54916.18  16.817  0.250
54918.16  16.796  0.250
54920.17  16.769  0.082
54921.16  16.815  0.104
54926.16  16.900  0.087
54929.25  17.133  0.175
54930.21  17.198  0.175
