SN2008gl 0.034000 20.228417 4.805306
filter J
54767.72 17.275 0.040
54767.73 17.251 0.033
54769.66 17.539 0.100
54769.67 17.364 0.044
54771.67 17.578 0.037
54771.68 17.524 0.049
54778.66 18.653 0.139
54778.67 18.686 0.133
54782.67 18.806 0.186
54788.66 18.448 0.105
54788.67 18.460 0.124
54796.67 18.301 0.109
54796.68 18.348 0.118
54800.67 18.403 0.116
54800.68 18.480 0.130
54762.29  17.124  0.175
54763.18  17.137  0.175
54768.14  17.294  0.237
54772.25  17.635  0.129
54779.19  18.574  0.221
54783.18  18.688  0.250
54786.16  18.539  0.113
54792.20  18.013  0.138
54794.21  17.989  0.350
