SN2005el 0.014900 77.953000 5.194278
filter H
53640.80 15.707 0.022
53640.81 15.730 0.021
53643.79 15.733 0.026
53643.80 15.739 0.027
53648.79 16.044 0.048
53648.80 15.928 0.058
53657.76 16.442 0.039
53657.77 16.371 0.034
53660.83 16.277 0.039
53660.84 16.401 0.062
53668.80 15.936 0.029
53668.81 15.916 0.034
53677.83 16.335 0.038
53677.84 16.524 0.072
53680.78 16.740 0.074
53680.79 16.652 0.083
53686.81 16.884 0.072
53686.82 16.889 0.070
53697.77 17.498 0.107
53697.77 17.266 0.090
53653.81 16.315 0.025
53653.82 16.309 0.022
53681.83 16.641 0.030
53681.84 16.605 0.028
53641.36  15.683  0.038
53642.37  15.664  0.045
53643.36  15.549  0.054
53651.43  15.990  0.071
53652.37  16.184  0.019
53653.39  16.202  0.091
53654.34  16.235  0.054
53656.33  16.408  0.175
53663.40  15.961  0.043
53665.36  15.911  0.049
53670.35  15.940  0.061
53672.30  16.003  0.046
53673.29  16.046  0.050
53674.39  16.136  0.059
53675.36  16.217  0.082
53676.36  16.357  0.086
53678.38  16.325  0.250
53686.35  16.633  0.036
53687.32  16.750  0.101
53688.33  16.830  0.098
53689.32  16.923  0.060
53690.32  16.913  0.049
53691.30  16.974  0.142
53693.33  17.078  0.190
53694.35  17.140  0.022
53695.31  17.210  0.163
53696.30  17.247  0.168
53700.26  17.329  0.043
53701.26  17.414  0.120
53703.28  17.336  0.049
53704.30  17.558  0.089
53705.30  17.588  0.253
53706.30  17.580  0.323
53707.30  17.413  0.077
