SN2008hv 0.012600 136.891917 3.392250
filter J
54811.81 15.305 0.013
54811.83 15.295 0.012
54812.78 15.241 0.009
54812.79 15.234 0.009
54815.83 15.341 0.015
54815.84 15.337 0.013
54822.82 16.127 0.016
54822.83 16.203 0.016
54828.80 17.130 0.035
54828.81 17.103 0.034
54829.75 17.158 0.045
54829.76 17.117 0.031
54833.78 17.177 0.032
54833.79 17.110 0.024
54804.80 17.201 0.015
54804.80 17.102 0.015
54839.69 16.628 0.013
54839.70 16.614 0.013
54849.78 16.960 0.024
54849.79 16.988 0.025
54854.78 17.521 0.036
54854.79 17.463 0.036
54868.66 18.370 0.100
54868.67 18.561 0.100
54875.65 18.867 0.112
54875.66 19.074 0.112
54804.35  17.189  0.116
54805.38  16.766  0.061
54806.36  16.440  0.128
54807.33  15.951  0.082
54810.32  15.136  0.250
54811.45  15.242  0.250
54813.38  15.228  0.015
54819.37  15.819  0.060
54820.36  15.873  0.036
54821.34  16.075  0.090
54830.32  17.109  0.105
54831.29  17.239  0.059
54834.31  16.941  0.106
54838.28  16.696  0.037
54839.28  16.465  0.015
54842.22  16.476  0.158
54843.25  16.451  0.140
54845.25  16.479  0.036
54846.24  16.597  0.103
54848.27  16.775  0.175
54860.24  17.653  0.175
54861.21  17.816  0.250
54862.23  17.710  0.175
54873.22  18.218  0.056
54875.20  18.440  0.128
54884.21  19.176  0.250
