SN2005ki 0.019200 160.117583 9.202333
filter H
53697.83 16.520 0.054
53701.81 16.219 0.028
53708.84 16.718 0.049
53708.84 16.695 0.061
53709.83 16.713 0.057
53709.84 16.771 0.073
53714.85 16.999 0.045
53715.84 16.962 0.060
53715.84 17.019 0.054
53717.86 17.012 0.052
53717.87 17.023 0.063
53719.86 16.888 0.055
53719.87 16.913 0.058
53750.85 17.802 0.032
53750.86 17.781 0.036
53756.82 18.054 0.065
53756.83 18.062 0.069
