SN2005eq 0.029000 47.205458 -7.033250
filter H
53656.71 17.438 0.071
53656.72 17.274 0.057
53660.70 17.380 0.076
53660.71 17.428 0.094
53664.71 17.377 0.071
53668.74 17.508 0.094
53672.76 17.704 0.122
53672.77 17.484 0.087
53677.77 17.273 0.105
53680.73 17.310 0.126
53692.69 17.430 0.091
53692.70 17.211 0.070
53653.87 17.138 0.052
53648.33  17.345  0.155
53651.40  17.092  0.060
53652.33  17.200  0.116
53653.37  17.265  0.134
53654.32  17.330  0.109
53656.29  17.379  0.250
53663.36  17.593  0.109
53665.32  17.599  0.104
53670.31  17.646  0.107
53672.27  17.526  0.175
53674.37  17.497  0.100
53676.34  17.584  0.138
53677.31  17.532  0.127
53678.35  17.481  0.121
53681.31  17.384  0.274
53682.30  17.251  0.097
53683.32  17.305  0.234
53684.35  17.216  0.093
53686.37  17.288  0.122
53687.27  17.362  0.121
53688.31  17.374  0.250
53689.29  17.424  0.053
53690.26  17.399  0.081
53691.29  17.354  0.099
53695.29  17.432  0.115
53699.23  17.554  0.165
53700.22  17.677  0.250
53703.24  17.951  0.196
53705.21  18.090  0.277
53706.26  18.208  0.194
53707.24  18.178  0.095
53711.24  18.268  0.120
53712.22  18.344  0.211
