SN2008gp 0.033400 50.753042 1.361889
filter H
54769.83 17.564 0.101
54769.84 17.912 0.177
54771.78 17.605 0.087
54771.79 17.714 0.112
54778.81 17.518 0.171
54778.81 17.246 0.121
54780.76 17.773 0.135
54780.76 17.695 0.129
54784.75 18.054 0.182
54791.75 18.092 0.144
54791.76 17.909 0.131
54794.75 17.936 0.185
54800.74 17.733 0.136
54800.75 18.029 0.178
54812.61 17.700 0.139
54812.62 17.734 0.144
54822.66 18.062 0.150
