SN2004eo 0.015700 308.225792 9.928528
filter J
53269.60 16.024 0.008
53269.60 16.006 0.009
53270.57 15.853 0.007
53270.57 15.904 0.007
53271.52 15.747 0.006
53271.54 15.721 0.006
53272.51 15.637 0.006
53272.52 15.638 0.006
53277.53 15.562 0.006
53277.54 15.555 0.006
53281.52 15.842 0.006
53281.53 15.829 0.007
53301.52 16.642 0.015
53301.53 16.631 0.014
53306.55 16.456 0.009
53306.56 16.442 0.009
