SN2009aa 0.027300 170.926167 -22.270694
filter H
54868.77 17.292 0.045
54868.78 17.375 0.057
54875.78 16.979 0.043
54875.78 16.972 0.050
54882.70 17.340 0.064
54882.71 17.285 0.060
54886.73 17.400 0.069
54886.74 17.590 0.087
54887.73 17.653 0.075
54887.74 17.456 0.072
54891.78 17.416 0.072
54891.79 17.590 0.062
54892.76 17.682 0.095
54892.77 17.511 0.082
54894.66 17.679 0.135
54894.67 17.362 0.087
54899.74 17.192 0.050
54899.75 17.152 0.053
54901.65 17.079 0.063
54901.66 17.234 0.078
54907.76 17.172 0.052
54907.77 17.061 0.056
54913.73 17.296 0.061
54913.73 17.494 0.066
54921.76 17.833 0.080
54921.77 18.028 0.121
54929.69 18.265 0.168
54872.78 17.014 0.015
54872.79 17.020 0.015
54873.76 16.960 0.015
54873.77 17.000 0.014
54956.64 19.354 0.099
