SN2007ca 0.014100 202.774208 -15.101833
filter H
54217.65 16.069 0.030
54217.66 16.069 0.035
54228.61 15.928 0.036
54228.62 15.998 0.036
54233.64 16.044 0.067
54233.65 15.955 0.086
54238.63 16.146 0.050
54238.64 16.189 0.042
54258.67 15.849 0.038
54258.68 15.860 0.036
54224.72 15.712 0.031
54224.73 15.733 0.031
54254.72 15.912 0.022
54254.72 15.866 0.019
54229.22  16.035  0.079
54231.21  16.013  0.066
54232.30  16.064  0.250
54233.29  16.042  0.175
54234.16  16.163  0.250
54235.28  16.212  0.175
54238.28  16.356  0.175
54239.27  16.287  0.051
54240.27  16.193  0.041
54241.26  16.127  0.044
54243.21  16.150  0.250
54256.17  15.886  0.067
54258.16  15.969  0.042
54259.17  15.959  0.175
54260.17  15.992  0.098
54261.16  16.041  0.250
54262.14  16.050  0.047
54275.15  16.396  0.042
