SN2009Y 0.009400 220.599375 -17.246778
filter J
54868.84  14.750  0.011
54868.86  14.804  0.014
54875.84  14.573  0.011
54875.85  14.602  0.010
54886.88  15.810  0.011
54886.89  15.876  0.013
54887.83  16.057  0.018
54887.84  16.066  0.018
54890.88  16.278  0.016
54890.89  16.275  0.014
54899.89  15.894  0.016
54901.82  15.780  0.011
54901.83  15.789  0.012
54913.93  15.873  0.013
54913.93  15.868  0.012
54919.92  16.416  0.020
54919.93  16.359  0.016
54921.92  16.524  0.022
54921.94  16.498  0.018
54929.90  17.113  0.028
54929.91  17.111  0.025
54965.67 19.151 0.150
54872.83 14.525 0.016
54872.84 14.510 0.016
54934.89 17.385 0.025
54934.90 17.336 0.023
54937.77 17.539 0.019
54937.78 17.543 0.020
