SN2006D 0.008526 193.141417 -9.775222
filter J
53776.87 16.030 0.020
53776.87 16.045 0.024
53779.90 15.892 0.032
53779.90 15.904 0.039
53782.86 15.846 0.022
53782.87 15.748 0.020
53789.85 16.308 0.028
53789.85 16.306 0.027
53796.86 16.942 0.034
53796.86 16.992 0.026
53803.89 17.470 0.078
53803.89 17.607 0.120
53807.79 17.832 0.063
53813.80 18.207 0.065
53813.81 18.147 0.061
53817.88 18.485 0.128
53817.87 18.540 0.154
53773.86 16.132 0.010
53773.86 16.144 0.010
53786.88 15.974 0.009
53786.89 15.982 0.009
53835.78 19.654 0.076
53845.74 19.842 0.124
53753.39  14.391  0.037
53755.39  14.331  0.021
53757.54  14.612  0.047
53758.43  14.650  0.043
53762.43  15.104  0.054
53763.41  15.345  0.061
53765.41  15.735  0.103
53766.41  15.903  0.037
53767.40  16.051  0.081
53768.39  16.138  0.045
53770.50  16.244  0.103
53771.41  16.148  0.067
53774.37  15.873  0.250
53776.47  15.971  0.030
53778.35  15.901  0.101
53788.36  16.143  0.062
53791.35  16.445  0.080
53794.32  16.765  0.055
53797.33  16.981  0.152
53800.29  17.279  0.138
53803.29  17.576  0.214
53807.30  17.581  0.250
53817.33  18.793  0.175
