SN2012fr 0.005457 53.399958 -36.127139
filter J
56231.34  13.613  0.033
56232.37  13.308  0.020
56233.36  13.074  0.020
56234.21  12.956  0.020
56234.35  12.941  0.020
56235.23  12.849  0.020
56235.34  12.835  0.020
56236.17  12.799  0.020
56237.10  12.744  0.020
56241.36  12.776  0.025
56244.37  12.902  0.020
56246.36  13.047  0.020
56248.37  13.174  0.020
56249.37  13.285  0.020
56251.36  13.547  0.020
56252.34  13.642  0.020
56253.19  13.811  0.020
56254.18  13.989  0.020
56256.34  14.342  0.020
56258.09  14.533  0.020
56259.10  14.546  0.020
56264.09  14.480  0.020
56265.11  14.454  0.025
56266.11  14.418  0.025
56281.07  13.940  0.020
56284.10  14.207  0.020
56287.25  14.486  0.025
56293.11  14.927  0.025
56295.06  15.077  0.020
56296.04  15.114  0.033
56296.12  15.155  0.025
56297.16  15.214  0.025
56298.03  15.200  0.020
56304.04  15.623  0.020
56318.09 16.388 0.021 
56326.07 16.859 0.021 
56327.06 16.900 0.021 
56342.10 17.587 0.025 
56343.09 17.565 0.028 
56345.07 17.693 0.039 
56346.05 17.709 0.033 
56349.08 17.741 0.031 
56352.08 17.871 0.022 
56378.01 18.591 0.044 
56382.03 18.723 0.036 
