SN2012ht 0.003556 163.34479 16.776361
filter J
56284.30 14.555 0.011
56285.40 14.219 0.022
56287.40 13.805 0.011
56288.40 13.666 0.013
56289.30 13.554 0.010
56292.30 13.452 0.023
56293.30 13.482 0.016
56295.30 13.583 0.013
56297.30 13.762 0.011
56318.30 14.885 0.010
56319.30 14.831 0.011
56320.20 14.775 0.011
56327.40 15.169 0.011
56347.20 16.750 0.028
56350.20 16.976 0.019
56354.20 17.277 0.021
