SN2015F 0.00489 114.06567 -69.506389
filter J
57092.0 15.667 0.015
57093.1 15.140 0.014
57094.1 14.684 0.016
57095.1 14.334 0.013
57109.1 13.517 0.014
57111.2 13.692 0.016
57112.0 13.817 0.014
57113.0 13.957 0.014
57114.0 14.128 0.014
57115.0 14.299 0.015
57116.0 14.478 0.014
57117.0 14.611 0.014
57120.0 14.713 0.016
57141.0 14.736 0.014
57142.0 14.794 0.015
57144.0 14.998 0.015
57170.0 16.898 0.022
57171.0 16.927 0.028
57173.0 17.048 0.024
57093.17 15.099 0.014
57094.00 14.777 0.017
57095.03 14.446 0.021
57100.03 13.401 0.023
57102.04 13.319 0.033
57110.12 13.616 0.013
57122.12 14.673 0.010
57124.06 14.664 0.010
57129.03 14.443 0.010
57139.98 14.659 0.010
