SN2006D 0.008526 193.141417 -9.775222
filter H
53776.87 14.894 0.017
53776.87 14.921 0.021
53779.90 14.909 0.022
53789.85 15.528 0.038
53789.85 15.461 0.033
53796.86 15.927 0.021
53796.86 15.863 0.022
53800.87 16.083 0.030
53800.87 16.095 0.032
53803.89 16.320 0.062
53803.89 16.245 0.053
53807.79 16.477 0.048
53813.80 16.730 0.041
53813.81 16.697 0.046
53817.88 17.046 0.097
53773.86 14.981 0.022
53773.86 14.969 0.022
53786.88 15.275 0.023
53786.89 15.268 0.023
53835.78 17.855 0.046
53845.74 18.463 0.089
53753.39  14.624  0.040
53755.39  14.715  0.114
53758.43  14.875  0.077
53762.43  14.931  0.044
53763.41  15.144  0.061
53765.41  15.231  0.105
53766.41  15.151  0.050
53767.40  15.192  0.125
53768.39  15.182  0.086
53770.50  15.127  0.070
53771.41  15.001  0.105
53776.47  14.983  0.067
53778.35  14.929  0.078
53788.36  15.624  0.099
53791.35  15.648  0.032
53794.32  15.816  0.081
53797.33  15.910  0.096
53800.29  16.306  0.181
53803.29  16.578  0.019
53807.30  16.728  0.214
53817.33  17.313  0.266
