SN2015F 0.00489 114.06567 -69.506389
filter H
57092.0 15.481 0.018
57093.1 14.976 0.017
57094.1 14.546 0.019
57095.1 14.261 0.017
57109.1 13.602 0.017
57110.0 13.627 0.017
57111.2 13.626 0.019
57112.0 13.655 0.019
57113.0 13.696 0.017
57114.0 13.708 0.017
57115.0 13.723 0.018
57116.0 13.728 0.017
57117.0 13.725 0.017
57120.0 13.603 0.019
57141.0 13.979 0.018
57142.0 14.008 0.017
57144.0 14.121 0.017
57170.0 15.284 0.018
57171.0 15.343 0.019
57173.0 15.471 0.021
57093.17  14.999  0.036
57094.00  14.686  0.032
57095.03  14.448  0.024
57100.03  13.481  0.023
57102.04  13.651  0.028
57110.12  13.752  0.012
57122.12  13.634  0.010
57124.06  13.626  0.010
57129.03  13.570  0.027
57139.98  14.022  0.010
